field                                                                   type     sum            min                  max                                 min_length  max_length  mean                    stddev                median     mode                                           cardinality
pendiente de reconectar                                                 Integer  0              0                    0                                   1           1           0                       0                     0          0                                              1
Country                                                                 Unicode                 -                    United States                       1           20                                                                   Spain                                          27
Region                                                                  Unicode                 -                    Zurich                              1           31                                                                   Madrid, Comunidad de                           67
City                                                                    Unicode                 -                    la Seu d'Urgell                     1           27                                                                   Madrid                                         429
PrimaryHardwareType                                                     Unicode                 Desktop              Tablet                              0           12                                                                   Desktop                                        5
OSName                                                                  Unicode                 Android              iOS                                 3           14                                                                   Windows 10                                     13
BrowserName                                                             Unicode                 Android Browser      SeaMonkey                           0           15                                                                   Chrome                                         14
Recommendation                                                          Integer  27480          0                    10                                  1           2           5.224334600760446       3.83656822381032      6          0                                              11
pageName                                                                Unicode                 -                    mi vodafone:vodafone tv:resumen tv  1           69                                                                   mi vodafone:mis productos:producto contratado  39
paginasenlavisita                                                       Integer  63864          2                    100                                 1           3           12.14144486692012       9.067289274887441     9          7                                              57
platform                                                                Unicode                 -                    responsive                          1           10                                                                   estandar                                       3
VERBATIM                                                                Unicode                 True                 True                                4           4                                                                    True                                           1
NPS                                                                     Unicode                 Detractor            Promotor                            6           9                                                                    Detractor                                      3
